"id","name","description","photos","defaultPrice"
"1","San Francisco Adidas Jersey","When players need to perform in training, they wear this adidas football jersey. Smooth fabric and moisture-wicking AEROREADY keep them focused. A droptail hem keeps you covered when you're giving it your all on the pitch. This product is made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic.","https://cdn.shopify.com/s/files/1/0613/0427/5199/products/adidas2022-23ArsenalTrainingJersey-Blue-Black_Front_large.jpg?v=1666896973","45"
"2","Oakland Adidas Jersey","When players need to perform in training, they wear this adidas football jersey. Smooth fabric and moisture-wicking AEROREADY keep them focused. A droptail hem keeps you covered when you're giving it your all on the pitch. This product is made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic.","https://cdn.shopify.com/s/files/1/0613/0427/5199/products/adidas2022-23JuventusPre-MatchJersey-Aqua-Teal-Navy_Front_large.jpg?v=1666224330","40"
"3","Bellevue Adidas Jersey","When players need to perform in training, they wear this adidas football jersey. Smooth fabric and moisture-wicking AEROREADY keep them focused. A droptail hem keeps you covered when you're giving it your all on the pitch. This product is made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic.","https://cdn.shopify.com/s/files/1/0613/0427/5199/products/adidas2022-23BayernMunichTrainingJersey-White_Front_large.jpg?v=1662571981","47"
"4","Bremerton Adidas Jersey","When players need to perform in training, they wear this adidas football jersey. Smooth fabric and moisture-wicking AEROREADY keep them focused. A droptail hem keeps you covered when you're giving it your all on the pitch. This product is made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic.","https://cdn.shopify.com/s/files/1/0613/0427/5199/products/adidas2022-23JuventusTrainingJersey-ActiveTeal_Front_large.jpg?v=1659053311","49"
"5","San Gabriel Adidas Jersey","When players need to perform in training, they wear this adidas football jersey. Smooth fabric and moisture-wicking AEROREADY keep them focused. A droptail hem keeps you covered when you're giving it your all on the pitch. This product is made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic.","https://cdn.shopify.com/s/files/1/0613/0427/5199/products/adidas2022-23RealMadridTrainingJersey-White_Front_large.jpg?v=1658777972","50"
"6","Arcadia Adidas Jersey","When players need to perform in training, they wear this adidas football jersey. Smooth fabric and moisture-wicking AEROREADY keep them focused. A droptail hem keeps you covered when you're giving it your all on the pitch. This product is made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic.","https://cdn.shopify.com/s/files/1/0613/0427/5199/products/adidas_22-23_arsenal_training_jersey_-_onix_front_large.jpg?v=1653299094","51"
"7","Los Angeles Adidas Jersey","When players need to perform in training, they wear this adidas football jersey. Smooth fabric and moisture-wicking AEROREADY keep them focused. A droptail hem keeps you covered when you're giving it your all on the pitch. This product is made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic.","https://cdn.shopify.com/s/files/1/0613/0427/5199/products/adidas_21-22_juventus_pre-match_jersey_-_black-pink-orange-aqua_front_large.jpg?v=1653298810","55"
"8","Daly City Adidas Jersey","When players need to perform in training, they wear this adidas football jersey. Smooth fabric and moisture-wicking AEROREADY keep them focused. A droptail hem keeps you covered when you're giving it your all on the pitch. This product is made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic.","https://cdn.shopify.com/s/files/1/0613/0427/5199/products/h32551a_d91bb36e-ebf6-4ebe-a0d1-d752c96fad90_large.jpg?v=1654156235","53"
"9","San Mateo Adidas Jersey","When players need to perform in training, they wear this adidas football jersey. Smooth fabric and moisture-wicking AEROREADY keep them focused. A droptail hem keeps you covered when you're giving it your all on the pitch. This product is made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic.","https://cdn.shopify.com/s/files/1/0613/0427/5199/products/h35891a_bc1b57cc-6b55-480e-8f08-a4aa78ef176f_large.jpg?v=1654156217","54"
"10","Berkeley Adidas Jersey","When players need to perform in training, they wear this adidas football jersey. Smooth fabric and moisture-wicking AEROREADY keep them focused. A droptail hem keeps you covered when you're giving it your all on the pitch. This product is made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic.","https://cdn.shopify.com/s/files/1/0613/0427/5199/products/gr9027a_large.jpg?v=1654152086","48"
"11","San Diego Adidas Jersey","When players need to perform in training, they wear this adidas football jersey. Smooth fabric and moisture-wicking AEROREADY keep them focused. A droptail hem keeps you covered when you're giving it your all on the pitch. This product is made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic.","https://cdn.shopify.com/s/files/1/0613/0427/5199/products/adidas2022-23BelgiumPre-MatchJersey_Front_large.jpg?v=1668212332","52"
"12","Fremont Adidas Jersey","When players need to perform in training, they wear this adidas football jersey. Smooth fabric and moisture-wicking AEROREADY keep them focused. A droptail hem keeps you covered when you're giving it your all on the pitch. This product is made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic.","https://cdn.shopify.com/s/files/1/0613/0427/5199/products/adidas2022-23RealMadridEUTrainingJersey-Green_Front_large.jpg?v=1667335326","49"